№,Секунда,Микросекунда
1,56,494299
2,56,504350
3,56,514474
4,56,524505
5,56,534600
6,56,544651
7,56,554679
8,56,564712
9,56,574773
10,56,585078
11,56,595111
12,56,605146
13,56,615660
14,56,626164
15,56,636204
16,56,646431
17,56,656944
18,56,667453
19,56,677955
20,56,688051
21,56,698255
22,56,708407
23,56,718774
24,56,728814
25,56,738853
26,56,749350
27,56,759393
28,56,769474
29,56,779706
30,56,790217
31,56,800258
32,56,810539
33,56,821043
34,56,831555
35,56,841781
36,56,851956
37,56,862490
38,56,872972
39,56,883505
40,56,894039
41,56,904139
42,56,914653
43,56,924825
44,56,935156
45,56,945190
46,56,955219
47,56,965243
48,56,975503
49,56,986006
50,56,996029
51,57,6143
52,57,16466
53,57,26522
54,57,36707
55,57,47222
56,57,57256
57,57,67331
58,57,77871
59,57,88141
60,57,98348
61,57,108384
62,57,118609
63,57,129107
64,57,139178
65,57,149248
66,57,159423
67,57,169490
68,57,179597
69,57,189672
70,57,200160
71,57,210695
72,57,221170
73,57,231247
74,57,241747
75,57,251955
76,57,262416
77,57,272569
78,57,282936
79,57,292978
80,57,303459
81,57,313587
82,57,323628
83,57,333672
84,57,343746
85,57,354265
86,57,364773
87,57,375180
88,57,385404
89,57,395906
90,57,406401
91,57,416719
92,57,427201
93,57,437706
94,57,447749
95,57,457993
96,57,468060
97,57,478243
98,57,488745
99,57,498892
100,57,509408
101,57,519912
102,57,530399
103,57,540889
104,57,551404
105,57,561908
106,57,572446
107,57,582910
108,57,593418
109,57,603579
110,57,613894
111,57,624422
112,57,634936
113,57,645465
114,57,655895
115,57,666425
116,57,676892
117,57,687421
118,57,697814
119,57,708069
120,57,718403
121,57,728898
122,57,739420
123,57,749952
124,57,760468
125,57,770594
126,57,781151
127,57,791212
128,57,801395
129,57,811588
130,57,821893
131,57,832379
132,57,842435
133,57,852661
134,57,863186
135,57,873257
136,57,883379
137,57,893881
138,57,904375
139,57,914874
140,57,925397
141,57,935888
142,57,946405
143,57,956847
144,57,966914
145,57,977406
146,57,987891
147,57,998408
148,58,8687
149,58,19110
150,58,29632
151,58,40135
152,58,50642
153,58,60951
154,58,71447
155,58,81869
156,58,92380
157,58,102891
158,58,112922
159,58,123439
160,58,133466
161,58,143506
162,58,154055
163,58,164478
164,58,174870
165,58,184925
166,58,195398
167,58,205864
168,58,216380
169,58,226495
170,58,236869
171,58,247407
172,58,257869
173,58,268362
174,58,278447
175,58,288539
176,58,298863
177,58,309401
178,58,319862
179,58,330353
180,58,340494
181,58,350857
182,58,361362
183,58,371477
184,58,381960
185,58,392473
186,58,402984
187,58,413018
188,58,423167
189,58,433200
190,58,443230
191,58,453368
192,58,463400
193,58,473745
194,58,484106
195,58,494620
196,58,504864
197,58,515035
198,58,525559
199,58,535595
200,58,545945
201,58,556315
202,58,566816
203,58,577088
204,58,587141
205,58,597175
206,58,607207
207,58,617445
208,58,627518
209,58,638033
210,58,648550
211,58,659125
212,58,669646
213,58,680160
214,58,690790
215,58,701187
216,58,711710
217,58,722203
218,58,732259
219,58,742530
220,58,753048
221,58,763559
222,58,774236
223,58,784580
224,58,795085
225,58,805592
226,58,816101
227,58,826608
228,58,836692
229,58,846955
230,58,857487
231,58,867840
232,58,877869
233,58,888131
234,58,898397
235,58,908904
236,58,919361
237,58,929838
238,58,940335
239,58,950846
240,58,960906
241,58,971410
242,58,981845
243,58,992433
244,59,2835
245,59,13390
246,59,23478
247,59,33827
248,59,43870
249,59,54339
250,59,64387
251,59,74836
252,59,84940
253,59,95362
254,59,105474
255,59,115824
256,59,126086
257,59,136615
258,59,146821
259,59,157034
260,59,167546
261,59,177822
262,59,188090
263,59,198405
264,59,208832
265,59,219334
266,59,229843
267,59,239955
268,59,250333
269,59,260827
270,59,271327
271,59,281477
272,59,291844
273,59,302360
274,59,312865
275,59,323346
276,59,333832
277,59,344357
278,59,354836
279,59,364961
280,59,375050
281,59,385336
282,59,395511
283,59,405808
284,59,416096
285,59,426592
286,59,436627
287,59,446737
288,59,457224
289,59,467491
290,59,477688
291,59,488192
292,59,498691
293,59,509200
294,59,519716
295,59,530221
296,59,540246
297,59,550282
298,59,560807
299,59,571332
300,59,581362
